,id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,winner,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away
113,114,2009,Johannesburg,23-05-2009,CSK,RCB,RCB,field,New Wanderers Stadium,RCB,0,0,14,16,0,0
114,115,2009,Johannesburg,24-05-2009,DC,RCB,RCB,field,New Wanderers Stadium,DC,0,0,16,16,0,0
115,116,2010,Mumbai,12-03-2010,KKR,DC,DC,field,Dr DY Patil Sports Academy,KKR,0,0,14,16,0,0
116,117,2010,Mumbai,13-03-2010,MI,RR,MI,bat,Brabourne Stadium,MI,0,0,16,14,0,0
117,118,2010,Chandigarh,13-03-2010,KXIP,DD,DD,field,"Punjab Cricket Association Stadium, Mohali",DD,0,0,14,14,0,0
118,119,2010,Kolkata,14-03-2010,RCB,KKR,KKR,field,Eden Gardens,KKR,0,0,16,14,0,0
119,120,2010,Chennai,14-03-2010,DC,CSK,DC,bat,"MA Chidambaram Stadium, Chepauk",DC,0,0,16,16,0,0
120,121,2010,Ahmedabad,15-03-2010,RR,DD,DD,field,"Sardar Patel Stadium, Motera",DD,0,0,14,14,0,0
121,122,2010,Bangalore,16-03-2010,KXIP,RCB,KXIP,bat,M Chinnaswamy Stadium,RCB,0,0,14,16,0,0
122,123,2010,Kolkata,16-03-2010,CSK,KKR,CSK,bat,Eden Gardens,CSK,0,0,16,14,0,0
123,124,2010,Delhi,17-03-2010,MI,DD,DD,field,Feroz Shah Kotla,MI,0,0,16,14,0,0
124,125,2010,Bangalore,18-03-2010,RR,RCB,RCB,field,M Chinnaswamy Stadium,RCB,0,0,14,16,0,0
125,126,2010,Delhi,19-03-2010,DD,CSK,DD,bat,Feroz Shah Kotla,CSK,0,0,14,16,0,0
126,127,2010,Cuttack,19-03-2010,DC,KXIP,KXIP,field,Barabati Stadium,DC,0,0,16,14,0,0
127,128,2010,Ahmedabad,20-03-2010,RR,KKR,RR,bat,"Sardar Patel Stadium, Motera",RR,0,0,14,14,0,0
128,129,2010,Mumbai,20-03-2010,MI,RCB,MI,bat,Brabourne Stadium,RCB,0,0,16,16,0,0
129,130,2010,Cuttack,21-03-2010,DC,DD,DC,bat,Barabati Stadium,DC,0,0,16,14,0,0
130,131,2010,Chennai,21-03-2010,KXIP,CSK,CSK,field,"MA Chidambaram Stadium, Chepauk",KXIP,0,0,14,16,0,0
131,132,2010,Mumbai,22-03-2010,KKR,MI,KKR,bat,Brabourne Stadium,MI,0,0,14,16,0,0
132,133,2010,Bangalore,23-03-2010,RCB,CSK,CSK,field,M Chinnaswamy Stadium,RCB,0,0,16,16,0,0
133,134,2010,Chandigarh,24-03-2010,RR,KXIP,KXIP,field,"Punjab Cricket Association Stadium, Mohali",RR,0,0,14,14,0,0
134,135,2010,Mumbai,25-03-2010,CSK,MI,MI,field,Brabourne Stadium,MI,0,0,16,16,0,0
135,136,2010,Ahmedabad,26-03-2010,DC,RR,DC,bat,"Sardar Patel Stadium, Motera",RR,0,0,16,14,0,0
136,137,2010,Chandigarh,27-03-2010,KKR,KXIP,KKR,bat,"Punjab Cricket Association Stadium, Mohali",KKR,0,0,14,14,0,0
137,138,2010,Bangalore,25-03-2010,DD,RCB,RCB,field,M Chinnaswamy Stadium,DD,0,0,14,16,0,0
138,139,2010,Ahmedabad,28-03-2010,RR,CSK,RR,bat,"Sardar Patel Stadium, Motera",RR,0,0,14,16,0,0
139,140,2010,Mumbai,28-03-2010,MI,DC,DC,field,Dr DY Patil Sports Academy,MI,0,0,16,16,0,0
140,141,2010,Delhi,29-03-2010,DD,KKR,DD,bat,Feroz Shah Kotla,DD,0,0,14,14,0,0
141,142,2010,Mumbai,30-03-2010,KXIP,MI,MI,field,Brabourne Stadium,MI,0,0,14,16,0,0
142,143,2010,Chennai,31-03-2010,RCB,CSK,RCB,bat,"MA Chidambaram Stadium, Chepauk",CSK,0,0,16,16,0,0
143,144,2010,Delhi,31-03-2010,DD,RR,DD,bat,Feroz Shah Kotla,DD,0,0,14,14,0,0
144,145,2010,Kolkata,01-04-2010,KKR,DC,KKR,bat,Eden Gardens,KKR,0,0,14,16,0,0
145,146,2010,Chandigarh,02-04-2010,KXIP,RCB,KXIP,bat,"Punjab Cricket Association Stadium, Mohali",RCB,0,0,14,16,0,0
146,147,2010,Chennai,03-04-2010,CSK,RR,CSK,bat,"MA Chidambaram Stadium, Chepauk",CSK,0,0,16,14,0,0
147,148,2010,Mumbai,03-04-2010,MI,DC,MI,bat,Brabourne Stadium,MI,0,0,16,16,0,0
148,149,2010,Kolkata,04-04-2010,KKR,KXIP,KKR,bat,Eden Gardens,KXIP,0,0,14,14,0,0
149,150,2010,Delhi,04-04-2010,DD,RCB,DD,bat,Feroz Shah Kotla,DD,0,0,14,16,0,0
150,151,2010,Nagpur,05-04-2010,RR,DC,RR,bat,"Vidarbha Cricket Association Stadium, Jamtha",RR,0,0,14,16,0,0
151,152,2010,Chennai,06-04-2010,CSK,MI,CSK,bat,"MA Chidambaram Stadium, Chepauk",CSK,0,0,16,16,0,0
152,153,2010,Jaipur,07-04-2010,KXIP,RR,KXIP,bat,Sawai Mansingh Stadium,RR,0,0,14,14,0,0
153,154,2010,Kolkata,07-04-2010,KKR,DD,KKR,bat,Eden Gardens,KKR,0,0,14,14,0,0
154,155,2010,Bangalore,08-04-2010,RCB,DC,DC,field,M Chinnaswamy Stadium,DC,0,0,16,16,0,0
155,156,2010,Chandigarh,09-04-2010,MI,KXIP,MI,bat,"Punjab Cricket Association Stadium, Mohali",KXIP,0,0,16,14,0,0
156,157,2010,Nagpur,10-04-2010,CSK,DC,CSK,bat,"Vidarbha Cricket Association Stadium, Jamtha",DC,0,0,16,16,0,0
157,158,2010,Bangalore,10-04-2010,KKR,RCB,RCB,field,M Chinnaswamy Stadium,RCB,0,0,14,16,0,0
158,159,2010,Delhi,11-04-2010,DD,KXIP,DD,bat,Feroz Shah Kotla,KXIP,0,0,14,14,0,0
159,160,2010,Jaipur,11-04-2010,MI,RR,RR,field,Sawai Mansingh Stadium,MI,0,0,16,14,0,0
160,161,2010,Nagpur,12-04-2010,DC,RCB,RCB,field,"Vidarbha Cricket Association Stadium, Jamtha",DC,0,0,16,16,0,0
161,162,2010,Mumbai,13-04-2010,MI,DD,MI,bat,Brabourne Stadium,MI,0,0,16,14,0,0
162,163,2010,Chennai,13-04-2010,KKR,CSK,KKR,bat,"MA Chidambaram Stadium, Chepauk",CSK,0,0,14,16,0,0
163,164,2010,Jaipur,14-04-2010,RR,RCB,RR,bat,Sawai Mansingh Stadium,RCB,0,0,14,16,0,0
164,165,2010,Chennai,15-04-2010,CSK,DD,CSK,bat,"MA Chidambaram Stadium, Chepauk",DD,0,0,16,14,0,0
165,166,2010,Dharamsala,16-04-2010,KXIP,DC,DC,field,Himachal Pradesh Cricket Association Stadium,DC,0,0,14,16,0,0
166,167,2010,Bangalore,17-04-2010,MI,RCB,RCB,field,M Chinnaswamy Stadium,MI,0,0,16,16,0,0
167,168,2010,Kolkata,17-04-2010,RR,KKR,RR,bat,Eden Gardens,KKR,0,0,14,14,0,0
168,169,2010,Dharamsala,18-04-2010,KXIP,CSK,CSK,field,Himachal Pradesh Cricket Association Stadium,CSK,0,0,14,16,0,0
169,170,2010,Delhi,18-04-2010,DC,DD,DC,bat,Feroz Shah Kotla,DC,0,0,16,14,0,0
170,171,2010,Kolkata,19-04-2010,MI,KKR,MI,bat,Eden Gardens,KKR,0,0,16,14,0,0
171,172,2010,Mumbai,21-04-2010,MI,RCB,MI,bat,Dr DY Patil Sports Academy,MI,0,0,16,16,0,0
172,173,2010,Mumbai,22-04-2010,CSK,DC,CSK,bat,Dr DY Patil Sports Academy,CSK,0,0,16,16,0,0
173,174,2010,Mumbai,24-04-2010,DC,RCB,DC,bat,Dr DY Patil Sports Academy,RCB,0,0,16,16,0,0
174,175,2010,Mumbai,25-04-2010,CSK,MI,CSK,bat,Dr DY Patil Sports Academy,CSK,0,0,16,16,0,0
175,176,2011,Chennai,08-04-2011,CSK,KKR,CSK,bat,"MA Chidambaram Stadium, Chepauk",CSK,0,0,16,15,0,0
176,177,2011,Hyderabad,09-04-2011,DC,RR,RR,field,"Rajiv Gandhi International Stadium, Uppal",RR,0,0,14,13,0,0
177,178,2011,Kochi,09-04-2011,KTK,RCB,KTK,bat,Nehru Stadium,RCB,0,0,14,16,0,0
178,179,2011,Delhi,10-04-2011,DD,MI,DD,bat,Feroz Shah Kotla,MI,0,0,14,16,0,0
